epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,545.2647213935852,48.374,102.80376440286636,64.3,64.3
1,0.01,308.11279740929604,72.296,69.67364212870598,76.38,76.38
2,0.01,230.0387438237667,79.568,62.44199579954147,78.44,78.44
3,0.01,189.55799597501755,83.346,47.96881012618542,83.53,83.53
4,0.01,162.50609003007412,85.678,41.277097791433334,86.32,86.32
5,0.01,143.56025585532188,87.26,41.083002761006355,86.51,86.51
6,0.01,128.13621754944324,88.756,40.205056592822075,87.03,87.03
7,0.01,115.08938206732273,89.838,36.38544547557831,87.92,87.92
8,0.01,104.23021533340216,90.962,36.71087893843651,88.03,88.03
9,0.01,94.97932197898626,91.634,36.01347169280052,88.56,88.56
10,0.01,88.42823792994022,92.146,32.16906173527241,89.4,89.4
11,0.01,79.2306380495429,93.006,32.748261123895645,89.83,89.83
12,0.01,75.6011001765728,93.304,34.481849655508995,88.95,89.83
13,0.01,69.01625789701939,93.814,32.85732501745224,89.53,89.83
14,0.01,64.57166916131973,94.256,34.49473665654659,89.22,89.83
15,0.01,60.58895928412676,94.584,31.65685799717903,90.25,90.25
16,0.01,56.47295302152634,94.984,37.35791324079037,88.72,90.25
17,0.01,53.88099729642272,95.126,32.73792673647404,89.96,90.25
18,0.01,48.57521412149072,95.598,35.09610580652952,90.17,90.25
19,0.01,46.174561847001314,95.878,32.668878458440304,90.57,90.57
20,0.01,45.14482544735074,95.958,34.56772020459175,90.04,90.57
21,0.01,42.56850856915116,96.122,34.71108426898718,90.19,90.57
22,0.01,39.91746645979583,96.482,34.751423075795174,90.49,90.57
23,0.01,40.390540312975645,96.364,31.60179454833269,91.0,91.0
24,0.01,35.92865210212767,96.82,34.27440257370472,89.67,91.0
25,0.01,35.011233016848564,96.898,36.45785577595234,89.86,91.0
26,0.01,32.767618361860514,97.036,38.88149781525135,89.87,91.0
27,0.01,32.75794283859432,97.02,35.5462599247694,89.85,91.0
28,0.01,31.33862015604973,97.284,33.69800014793873,90.77,91.0
29,0.01,29.43513217754662,97.376,37.707934997975826,89.93,91.0
30,0.01,28.131011236459017,97.514,35.97364756092429,91.2,91.2
31,0.01,28.997106175869703,97.446,36.02611976116896,90.82,91.2
32,0.01,28.834999786689878,97.466,31.0203607827425,91.28,91.28
33,0.01,27.18066274188459,97.666,34.606301464140415,90.9,91.28
34,0.01,25.807366406545043,97.746,34.07871862500906,91.12,91.28
35,0.01,27.190103048458695,97.6,33.7829369828105,90.98,91.28
36,0.01,24.436132553964853,97.886,37.96241334080696,90.55,91.28
37,0.01,22.89497817121446,97.978,37.39628816395998,91.12,91.28
38,0.01,24.670793741941452,97.816,39.042722925543785,90.37,91.28
39,0.01,23.06284291110933,97.98,37.30522872507572,91.18,91.28
40,0.01,22.810318674892187,97.958,35.05038717016578,91.05,91.28
41,0.01,24.65527943894267,97.742,35.28184853494167,90.78,91.28
42,0.01,20.716730261221528,98.186,44.95369304716587,89.07,91.28
43,0.01,23.972533429041505,97.934,37.22201780974865,89.9,91.28
44,0.01,22.82736821845174,98.008,34.16879606246948,90.57,91.28
45,0.01,22.9430119600147,98.0,41.099611684679985,89.19,91.28
46,0.01,22.418457247316837,98.074,35.509063094854355,90.72,91.28
47,0.01,21.192879531532526,98.126,37.103046640753746,90.55,91.28
48,0.01,19.783529257401824,98.314,36.83383245766163,90.93,91.28
49,0.01,20.727361725643277,98.144,36.32721119374037,90.25,91.28
50,0.01,20.572232093662024,98.212,44.50259879231453,89.32,91.28
51,0.01,20.869252623990178,98.184,32.35347077250481,91.21,91.28
52,0.01,21.29937687329948,98.116,35.08502130955458,90.68,91.28
53,0.01,20.03724390640855,98.268,35.9500847607851,91.28,91.28
