epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.001,719.1588217020035,30.966,159.7811735868454,40.31,40.31
1,0.001,543.1236441135406,48.352,125.22889304161072,54.17,54.17
2,0.001,422.2143093943596,61.018,98.59839862585068,64.1,64.1
3,0.001,349.1080864071846,67.868,93.11995893716812,67.76,67.76
4,0.001,294.55320978164673,73.322,78.74100923538208,73.13,73.13
5,0.001,253.56896549463272,77.284,66.94788098335266,77.21,77.21
6,0.001,227.76996105909348,79.748,61.89287778735161,79.22,79.22
7,0.001,203.59946724772453,81.898,56.04293954372406,81.07,81.07
8,0.001,186.8281725347042,83.51,50.04434177279472,83.36,83.36
9,0.001,170.87831979990005,84.964,50.52367922663689,83.21,83.36
10,0.001,156.99130165576935,86.018,46.74434641003609,84.51,84.51
11,0.001,145.40449833869934,87.296,47.93471412360668,84.13,84.51
12,0.001,135.56104336678982,87.954,43.79100841283798,85.53,85.53
13,0.001,126.98289270699024,88.732,45.841059505939484,84.95,85.53
14,0.001,117.63259929418564,89.662,47.57646602392197,84.55,85.53
15,0.001,111.67926815152168,90.082,42.879601553082466,86.14,86.14
16,0.001,105.22438769042492,90.638,41.52654440701008,86.37,86.37
17,0.001,96.92053808271885,91.604,41.79430601000786,86.32,86.37
18,0.001,91.16949087381363,91.946,41.003238931298256,87.16,87.16
19,0.001,84.93522553145885,92.474,41.721652537584305,87.07,87.16
20,0.001,79.12080808728933,92.978,42.321114271879196,86.81,87.16
21,0.001,75.40149147808552,93.402,43.38416229188442,86.98,87.16
22,0.001,70.84147169440985,93.668,41.98890171945095,87.15,87.16
23,0.001,67.4228321351111,94.07,43.047353997826576,87.36,87.36
24,0.001,62.03129808232188,94.546,41.31190650165081,87.79,87.79
25,0.001,58.103457655757666,94.858,42.894376799464226,87.67,87.79
26,0.001,55.412895273417234,95.084,43.11796122789383,87.82,87.82
27,0.001,52.19011417403817,95.318,43.958764627575874,87.74,87.82
28,0.001,48.18161366507411,95.798,44.154795959591866,87.56,87.82
29,0.001,45.39620829001069,95.858,42.72075442969799,88.22,88.22
30,0.001,42.44445679150522,96.172,42.20402270555496,88.39,88.39
31,0.001,41.75669863820076,96.242,45.13918025791645,87.56,88.39
32,0.001,38.23076109960675,96.578,45.14666497707367,87.9,88.39
33,0.001,36.628516148775816,96.8,44.7472565472126,88.2,88.39
34,0.001,33.81400300562382,97.032,46.64084550738335,87.95,88.39
35,0.001,32.174192851409316,97.124,47.16728536784649,87.89,88.39
