epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.1,657.3210612535477,37.058,144.80630111694336,46.25,46.25
1,0.1,450.58630776405334,58.454,122.81280279159546,59.05,59.05
2,0.1,352.8186830878258,68.332,96.02251583337784,68.3,68.3
3,0.1,291.8449139595032,74.086,112.77870684862137,65.62,68.3
4,0.1,259.79410776495934,77.228,83.76994401216507,72.79,72.79
5,0.1,237.6181647181511,79.22,67.91286718845367,76.84,76.84
6,0.1,222.0861592590809,80.612,68.14887139201164,77.31,77.31
7,0.1,213.1515824496746,81.374,70.81038299202919,76.43,77.31
8,0.1,201.7137339413166,82.628,63.385981768369675,78.67,78.67
9,0.1,192.16815826296806,83.152,73.7210684120655,76.04,78.67
10,0.1,186.6288032233715,83.75,67.91148987412453,77.27,78.67
11,0.1,183.46272617578506,83.956,74.59527203440666,77.64,78.67
12,0.1,176.8147382736206,84.616,60.022492468357086,81.82,81.82
13,0.1,172.17823109030724,84.984,74.2987792789936,75.17,81.82
14,0.1,168.5386838912964,85.23,48.71441116929054,83.37,83.37
15,0.1,164.08198453485966,85.876,56.498381555080414,81.46,83.37
16,0.1,159.72755920886993,86.08,55.88477039337158,82.12,83.37
17,0.1,159.33593146502972,86.164,53.74528828263283,82.47,83.37
18,0.1,157.01490487158298,86.436,58.0022654235363,81.0,83.37
19,0.1,159.11906173825264,86.282,46.08102445304394,84.66,84.66
20,0.1,149.36252543330193,87.066,51.6758833527565,82.82,84.66
21,0.1,153.3686241209507,86.61,64.13446366786957,79.1,84.66
22,0.1,148.91465175151825,87.004,64.74633041024208,79.05,84.66
23,0.1,147.7296533435583,87.146,80.87542825937271,77.32,84.66
24,0.1,150.13073962926865,86.924,73.9331861436367,77.7,84.66
25,0.1,145.65147767961025,87.516,57.81204918026924,81.16,84.66
26,0.1,144.6293929517269,87.364,46.69908933341503,84.99,84.99
27,0.1,143.26790376007557,87.662,60.95890265703201,80.85,84.99
28,0.1,144.4967102855444,87.378,52.56413692235947,83.19,84.99
29,0.1,142.04431472718716,87.608,46.43511737883091,84.54,84.99
30,0.1,139.75709894299507,87.854,45.37556344270706,85.13,85.13
31,0.1,141.2059269696474,87.698,51.55457513034344,83.91,85.13
32,0.1,140.0678262412548,87.882,56.171721667051315,82.19,85.13
33,0.1,141.192138209939,87.864,54.39585363864899,82.21,85.13
34,0.1,136.93750476837158,88.144,49.632806181907654,84.29,85.13
35,0.1,137.86537043750286,88.062,44.98732376098633,85.41,85.41
36,0.1,136.99847355484962,88.044,59.268558740615845,81.5,85.41
37,0.1,136.56278903782368,88.224,53.311662167310715,83.15,85.41
38,0.1,135.96608199179173,88.258,45.0580193400383,85.76,85.76
39,0.1,136.31931848824024,88.276,52.001987904310226,82.68,85.76
40,0.1,136.06232030689716,88.102,55.988496243953705,82.24,85.76
41,0.1,134.86622597277164,88.4,68.16652920842171,79.49,85.76
42,0.1,133.02046191692352,88.448,44.67530006170273,84.92,85.76
43,0.1,135.08733713626862,88.35,48.35413238406181,84.09,85.76
44,0.1,134.06119538843632,88.488,66.98925498127937,80.6,85.76
45,0.1,134.4282787144184,88.296,54.54196420311928,82.55,85.76
46,0.1,133.8871283531189,88.24,56.92235350608826,82.02,85.76
47,0.1,130.74543696641922,88.652,47.28540129959583,84.81,85.76
48,0.1,131.94220216572285,88.578,47.09840175509453,84.66,85.76
49,0.1,131.1671760827303,88.534,58.016926005482674,81.55,85.76
50,0.1,132.53548534214497,88.528,64.75199338793755,79.63,85.76
51,0.1,129.45220498740673,88.7,54.03035321831703,83.84,85.76
52,0.1,130.4382503181696,88.688,43.87217915058136,85.89,85.89
53,0.1,131.30417995154858,88.584,59.109348118305206,82.69,85.89
54,0.1,129.33732442557812,88.786,45.432728081941605,85.21,85.89
55,0.1,127.94535560905933,88.874,59.53234454989433,80.98,85.89
56,0.1,128.4693820476532,88.86,50.4785270690918,83.24,85.89
57,0.1,130.8246532678604,88.554,52.551825761795044,82.81,85.89
58,0.1,129.27057774364948,88.768,45.13249446451664,85.92,85.92
59,0.1,127.72147266566753,88.968,45.86298580467701,85.18,85.92
60,0.1,129.6005423516035,88.728,46.56419479846954,85.34,85.92
61,0.1,127.74486419558525,88.984,53.0745465606451,82.89,85.92
62,0.1,127.18569719791412,88.902,42.24937070906162,86.59,86.59
63,0.1,127.38098274171352,88.944,50.29044184088707,83.59,86.59
64,0.1,126.77637556195259,88.924,52.87763699889183,83.32,86.59
65,0.1,129.1984787583351,88.804,73.2947299182415,77.87,86.59
66,0.1,125.8421082496643,88.982,45.41765162348747,85.07,86.59
67,0.1,128.1279011517763,88.868,58.89550545811653,82.16,86.59
68,0.1,128.46882598102093,88.866,43.43847008049488,85.73,86.59
69,0.1,128.20527708530426,88.79,52.28469364345074,83.67,86.59
70,0.1,126.25446482002735,89.038,47.70251424610615,85.15,86.59
71,0.1,124.74652297049761,89.142,84.48914501070976,77.53,86.59
72,0.1,130.6136859357357,88.648,65.82853102684021,80.07,86.59
73,0.1,123.29873405396938,89.126,66.44707101583481,80.91,86.59
74,0.1,126.63676050305367,88.934,73.3433848619461,78.1,86.59
75,0.1,127.79732631146908,88.922,70.78907519578934,77.78,86.59
76,0.1,128.10811169445515,88.932,41.677108094096184,86.72,86.72
77,0.1,124.70106017589569,89.104,81.54604715108871,76.27,86.72
78,0.1,126.52211378514767,88.988,54.37963417172432,82.61,86.72
79,0.1,127.74930803477764,88.868,47.84518700838089,84.67,86.72
80,0.1,124.46004728972912,89.22,51.283803790807724,83.7,86.72
81,0.010000000000000002,65.17891013249755,94.378,22.269503474235535,92.67,92.67
82,0.010000000000000002,46.88205964118242,95.956,21.60491295903921,93.0,93.0
83,0.010000000000000002,39.291644025593996,96.584,20.34028570353985,93.47,93.47
84,0.010000000000000002,35.24389082938433,96.91,20.69542996585369,93.55,93.55
85,0.010000000000000002,31.28431070409715,97.288,20.156070455908775,93.71,93.71
86,0.010000000000000002,28.027018392458558,97.594,21.292339354753494,93.63,93.71
87,0.010000000000000002,24.862158024683595,97.882,21.340237602591515,93.73,93.73
88,0.010000000000000002,22.68141177110374,98.084,21.842349991202354,93.65,93.73
89,0.010000000000000002,22.031797913834453,98.034,20.815151000395417,93.96,93.96
90,0.010000000000000002,18.8920701444149,98.38,21.852038603276014,93.75,93.96
91,0.010000000000000002,18.111357752233744,98.428,23.95852266252041,93.26,93.96
92,0.010000000000000002,16.905298059806228,98.528,23.255796633660793,93.65,93.96
93,0.010000000000000002,15.877232983708382,98.594,23.648223411291838,93.69,93.96
94,0.010000000000000002,15.157945079728961,98.658,23.672101885080338,93.74,93.96
95,0.010000000000000002,15.090257292613387,98.696,24.59846518933773,93.49,93.96
96,0.010000000000000002,13.307242946699262,98.886,25.022146560251713,93.65,93.96
97,0.010000000000000002,13.69900413416326,98.796,24.375773165374994,93.92,93.96
98,0.010000000000000002,13.233604678884149,98.806,24.683731988072395,93.49,93.96
99,0.010000000000000002,12.679235910996795,98.93,25.350379217416048,93.58,93.96
100,0.010000000000000002,12.178950740024447,98.948,28.58229999244213,92.88,93.96
101,0.010000000000000002,13.183755232021213,98.876,25.818922486156225,93.61,93.96
102,0.010000000000000002,12.939917931333184,98.91,25.66850769519806,93.47,93.96
103,0.010000000000000002,13.642532279714942,98.84,26.173520896583796,93.04,93.96
104,0.010000000000000002,14.087065694853663,98.8,25.72701285406947,93.3,93.96
105,0.010000000000000002,13.559130439069122,98.79,29.203940488398075,92.59,93.96
106,0.010000000000000002,14.801005268469453,98.718,25.74203982949257,93.5,93.96
107,0.010000000000000002,13.481281038373709,98.802,28.198265314102173,93.09,93.96
108,0.010000000000000002,14.228206001222134,98.772,31.04005990549922,92.42,93.96
109,0.010000000000000002,15.489172831177711,98.65,28.979409638792276,92.93,93.96
110,0.010000000000000002,14.675629744306207,98.744,27.253880478441715,93.12,93.96
111,0.010000000000000002,16.397326949983835,98.632,30.426034934818745,92.49,93.96
112,0.010000000000000002,16.11169420182705,98.57,28.310652066022158,92.96,93.96
113,0.010000000000000002,15.63903102837503,98.634,26.63859110698104,93.33,93.96
114,0.010000000000000002,16.364452701061964,98.59,29.084813497960567,92.56,93.96
115,0.010000000000000002,18.22509752586484,98.38,30.238163709640503,92.56,93.96
116,0.010000000000000002,17.014222417026758,98.536,26.8939803019166,93.0,93.96
