epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,538.8660699129105,49.126,104.0978512763977,63.71,63.71
0,0.01,538.8660046458244,49.126,104.0999608039856,63.71,63.71
1,0.01,314.9477806985378,71.514,66.31900650262833,77.21,77.21
1,0.01,314.94921097159386,71.516,66.31476053595543,77.21,77.21
2,0.01,232.17332926392555,79.39,59.30928561091423,79.96,79.96
2,0.01,232.17098701000214,79.382,59.30783033370972,79.96,79.96
3,0.01,189.88520446419716,83.264,51.16304114460945,82.85,82.85
3,0.01,189.88433986902237,83.264,51.2075819671154,82.81,82.81
4,0.01,163.5257262289524,85.526,45.678499922156334,85.02,85.02
4,0.01,163.55388678610325,85.582,45.695055440068245,84.94,84.94
5,0.01,145.5389092862606,87.092,44.66835917532444,84.86,85.02
5,0.01,145.64492651820183,87.086,45.13231560587883,84.71,84.94
6,0.01,130.4818359017372,88.476,41.186825677752495,86.72,86.72
6,0.01,130.30646900832653,88.538,41.21198329329491,86.59,86.59
7,0.01,115.29497322440147,89.716,38.55966202914715,87.21,87.21
7,0.01,115.40363650023937,89.678,38.63171371817589,87.36,87.36
8,0.01,104.84904459118843,90.67,38.68454526364803,87.12,87.21
8,0.01,105.22453287988901,90.626,38.038916766643524,87.28,87.36
9,0.01,94.21560258418322,91.674,35.24176974594593,88.14,88.14
9,0.01,94.0409467741847,91.718,36.083816185593605,88.01,88.01
10,0.01,88.29312871396542,92.198,35.23739230632782,88.89,88.89
10,0.01,88.58203506469727,92.202,36.31844353675842,88.56,88.56
11,0.01,79.36316893622279,92.868,33.71742341667414,89.17,89.17
11,0.01,79.75476613640785,92.896,35.28381787240505,88.86,88.86
12,0.01,75.14217748492956,93.316,34.477398209273815,89.52,89.52
12,0.01,76.75959368795156,93.184,34.22394586354494,88.98,88.98
13,0.01,68.86950589716434,93.938,37.38189247995615,88.56,89.52
13,0.01,67.64239775389433,94.038,36.472353145480156,88.93,88.98
14,0.01,63.371451668441296,94.32,37.38744382560253,88.58,89.52
14,0.01,64.01960402727127,94.192,34.952285423874855,89.25,89.25
15,0.01,60.04982614144683,94.68,34.17388641089201,89.44,89.52
15,0.01,60.125079445540905,94.634,35.75687202811241,88.88,89.25
16,0.01,54.07089516893029,95.19,36.86390317231417,89.15,89.52
16,0.01,57.18904072418809,94.968,37.69901894032955,89.22,89.25
17,0.01,52.00517698377371,95.22,37.899624079465866,89.16,89.52
17,0.01,52.13377367332578,95.352,35.773555621504784,88.44,89.25
18,0.01,48.58949664607644,95.72,36.41423277556896,89.56,89.56
18,0.01,50.37871639803052,95.518,38.77786682546139,88.57,89.25
19,0.01,45.710597805678844,95.888,38.30337433516979,89.56,89.56
19,0.01,46.736611519008875,95.868,39.426913261413574,88.94,89.25
20,0.01,45.39423202350736,95.97,35.09685264527798,89.47,89.56
20,0.01,43.354890612885356,96.106,37.87808336317539,89.23,89.25
21,0.01,40.5300451926887,96.42,37.302804842591286,88.84,89.56
21,0.01,41.21389202401042,96.366,40.12729771435261,88.94,89.25
22,0.01,39.35633747279644,96.482,38.000559002161026,88.8,89.56
22,0.01,38.99417985975742,96.498,34.34739326685667,89.6,89.6
23,0.01,37.25563380122185,96.686,37.708287946879864,89.53,89.56
23,0.01,38.32794946432114,96.588,36.530010625720024,89.78,89.78
24,0.01,35.916868805885315,96.744,42.68601043522358,89.07,89.56
24,0.01,35.03777338936925,96.892,37.190620973706245,89.76,89.78
25,0.01,34.67880691587925,96.848,35.57490662485361,90.21,90.21
25,0.01,34.065406093373895,97.028,35.22624099254608,90.34,90.34
26,0.01,35.09420269727707,96.872,43.53800167143345,88.27,90.21
26,0.01,32.39708451926708,97.124,37.85019613802433,89.97,90.34
27,0.01,33.36773497983813,97.072,37.98508120328188,89.8,90.21
27,0.01,31.05166234821081,97.234,35.29313088953495,90.39,90.39
28,0.01,30.0708125308156,97.272,38.28393138945103,89.51,90.21
28,0.01,28.345860892906785,97.526,38.57301589846611,89.55,90.39
29,0.01,28.802830271422863,97.452,37.733071729540825,90.52,90.52
29,0.01,31.125884752720594,97.21,35.54755973815918,90.62,90.62
30,0.01,29.268334904685616,97.41,35.88537588715553,90.24,90.52
30,0.01,27.645351557061076,97.476,40.14563363790512,89.82,90.62
31,0.01,27.951677979901433,97.516,39.78138694167137,89.93,90.52
31,0.01,29.36972706206143,97.384,40.237965419888496,90.04,90.62
32,0.01,26.62998411245644,97.622,37.82615875452757,90.21,90.52
32,0.01,27.05888540484011,97.582,38.50162584334612,89.89,90.62
33,0.01,26.032918630167842,97.712,37.2176927626133,90.34,90.52
33,0.01,26.767579847946763,97.596,39.13345613330603,89.93,90.62
34,0.01,24.15424457937479,97.828,38.62690436094999,90.25,90.52
34,0.01,24.99346941895783,97.79,39.475068517029285,90.04,90.62
35,0.01,24.16339546069503,97.928,35.095592841506004,90.1,90.52
35,0.01,25.870173601433635,97.724,39.89622551202774,89.69,90.62
36,0.01,23.345868965610862,97.928,41.716353222727776,89.73,90.52
36,0.01,25.402099700644612,97.688,41.69058173894882,88.75,90.62
37,0.01,24.269751496613026,97.824,48.5262575596571,87.14,90.52
37,0.01,23.26926686987281,97.966,49.12554770708084,87.29,90.62
38,0.01,23.756396317854524,97.908,40.45249491930008,89.38,90.52
38,0.01,23.247437162324786,97.92,38.31409725546837,90.54,90.62
39,0.01,22.750853905454278,97.996,33.6702146679163,90.39,90.52
39,0.01,22.67667441535741,98.006,39.34606622904539,88.9,90.62
40,0.01,22.128299919888377,98.062,35.962041944265366,90.6,90.6
40,0.01,23.126360970549285,97.97,38.84961824864149,89.88,90.62
41,0.01,22.707019167020917,97.948,43.63025917112827,89.12,90.6
41,0.01,21.479239888489246,98.106,36.62107130140066,90.33,90.62
42,0.01,22.089823191985488,98.006,37.56091770529747,90.16,90.6
42,0.01,22.63864474929869,98.084,36.48035494983196,90.71,90.71
43,0.01,21.685704605653882,98.09,43.15165700018406,89.69,90.6
43,0.01,22.927610110491514,98.004,34.005376771092415,91.28,91.28
44,0.01,22.009978607296944,98.09,40.79276538640261,90.32,90.6
44,0.01,21.656747948378325,98.08,43.08413864672184,88.25,91.28
45,0.01,21.211528515443206,98.136,46.707523077726364,88.61,90.6
45,0.01,22.01854937337339,98.068,41.119360104203224,89.48,91.28
46,0.01,20.84008094575256,98.112,41.58729925751686,90.31,90.6
46,0.01,20.60665293969214,98.232,38.46322134882212,90.07,91.28
47,0.01,20.359311835840344,98.258,37.10878649353981,89.79,90.6
47,0.01,22.047262428328395,98.048,36.7536383792758,89.89,91.28
48,0.01,20.454323327168822,98.238,38.791009068489075,89.63,90.6
48,0.01,20.74627067707479,98.232,37.0215318351984,90.23,91.28
49,0.01,20.328514116816223,98.198,35.51811205595732,90.38,90.6
49,0.01,19.918284071609378,98.28,42.08583505451679,90.23,91.28
50,0.01,21.78228798136115,98.144,35.30323430150747,90.65,90.65
50,0.01,21.281784534454346,98.13,37.9585267752409,90.78,91.28
