epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,563.0350087881088,46.402,114.4421523809433,58.38,58.38
1,0.01,359.03327190876007,67.344,85.2286388874054,71.05,71.05
2,0.01,277.85557785630226,75.22,76.67200085520744,74.21,74.21
3,0.01,233.91923743486404,79.284,60.236873000860214,79.83,79.83
4,0.01,203.68502831459045,82.05,91.19733422994614,71.51,79.83
5,0.01,183.92147862911224,83.826,56.43759328126907,81.86,81.86
6,0.01,167.02198883891106,85.36,54.36474849283695,82.67,82.67
7,0.01,152.94562517106533,86.494,49.20176975429058,83.71,83.71
8,0.01,139.90275977551937,87.708,49.41685527563095,84.16,84.16
9,0.01,133.0088745355606,88.352,46.11693188548088,85.67,85.67
10,0.01,122.76914495229721,89.264,40.36030259728432,86.47,86.47
11,0.01,115.74857439100742,89.69,45.182925917208195,85.61,86.47
12,0.01,109.90114817023277,90.18,42.42043437063694,85.95,86.47
13,0.01,103.28099046647549,90.788,42.45253758132458,86.83,86.83
14,0.01,98.03370155394077,91.226,44.64000418782234,86.1,86.83
15,0.01,92.39174754917622,91.864,37.75872681289911,87.76,87.76
16,0.01,88.3046438768506,92.144,35.48788879811764,88.89,88.89
17,0.01,85.48537864536047,92.354,39.59474886953831,87.28,88.89
18,0.01,79.55976508557796,92.946,40.41581504046917,87.56,88.89
19,0.01,74.32399299368262,93.292,55.62328678369522,84.59,88.89
20,0.01,73.17150374501944,93.442,39.7824330329895,87.45,88.89
21,0.01,70.16757846996188,93.68,39.51676253974438,88.31,88.89
22,0.01,68.04136908426881,93.862,37.97761042416096,88.46,88.89
23,0.01,63.935242995619774,94.252,33.8475850969553,89.8,89.8
24,0.01,61.5416208691895,94.5,39.80782587826252,88.42,89.8
25,0.01,58.23833927884698,94.71,37.81229758262634,89.41,89.8
26,0.01,57.021585911512375,94.886,34.313923344016075,89.68,89.8
27,0.01,54.1747119538486,95.048,41.249214835464954,88.37,89.8
28,0.01,51.57213256880641,95.366,35.4744176864624,89.67,89.8
29,0.01,52.26949963346124,95.306,34.11521437764168,89.53,89.8
30,0.01,48.01550140604377,95.696,39.45176760107279,88.94,89.8
31,0.01,48.30978571251035,95.622,34.144121922552586,90.2,90.2
32,0.01,44.476626202464104,95.962,34.64398892968893,90.49,90.49
33,0.01,44.03480529971421,95.934,36.60434167087078,89.46,90.49
34,0.01,42.2894641906023,96.314,38.09942798316479,89.49,90.49
35,0.01,42.77593984082341,96.076,36.46757651865482,90.01,90.49
36,0.01,42.438248079270124,96.146,39.992661505937576,89.1,90.49
37,0.01,39.59025914594531,96.546,34.83358649909496,90.18,90.49
38,0.01,40.20090349204838,96.334,43.08998341858387,88.81,90.49
39,0.01,36.798326721414924,96.65,37.72712152451277,89.92,90.49
40,0.01,37.53261725604534,96.624,39.52795082330704,89.52,90.49
41,0.01,36.87560554407537,96.612,36.74424593150616,89.89,90.49
42,0.01,34.79239214397967,96.89,34.56239986419678,90.36,90.49
43,0.01,35.43156363070011,96.786,40.481145441532135,89.38,90.49
44,0.01,33.642677046358585,96.936,35.35240103304386,90.49,90.49
45,0.01,34.54058793745935,96.868,34.14877939224243,90.69,90.69
46,0.01,33.39164538681507,96.894,38.37392047792673,89.85,90.69
47,0.01,32.33358204551041,97.07,38.47119065374136,89.83,90.69
48,0.01,32.269417963922024,97.126,38.07194436341524,90.01,90.69
49,0.01,34.035378040745854,96.986,36.360489532351494,90.32,90.69
50,0.01,31.754815896973014,97.208,35.15741106122732,90.67,90.69
51,0.01,30.173013102263212,97.17,46.00044712424278,88.74,90.69
52,0.01,30.970463443547487,97.212,35.81971574574709,90.16,90.69
53,0.01,29.158923940733075,97.402,40.55482121556997,89.78,90.69
54,0.01,30.371865943074226,97.256,34.22185582667589,90.76,90.76
55,0.01,27.74389753676951,97.512,35.58912085741758,90.49,90.76
56,0.01,29.247300948947668,97.376,38.39826990664005,90.21,90.76
57,0.01,30.001472802832723,97.254,39.458614356815815,90.05,90.76
58,0.01,29.284969095140696,97.444,37.85877686738968,90.04,90.76
59,0.01,29.673149593174458,97.34,35.88433110713959,90.74,90.76
60,0.01,26.21543044410646,97.64,35.51070150732994,90.66,90.76
61,0.01,28.114131269976497,97.532,36.86225727200508,90.71,90.76
62,0.01,27.09552980400622,97.672,39.00083353370428,90.22,90.76
63,0.01,27.299942709505558,97.596,34.67024330794811,91.06,91.06
64,0.01,27.19678568840027,97.596,52.884198531508446,86.9,91.06
65,0.01,27.848855705931783,97.554,39.94036913663149,89.76,91.06
66,0.01,28.511102195829153,97.444,41.08646160364151,89.69,91.06
67,0.01,25.40394241735339,97.786,36.24865624308586,90.59,91.06
68,0.01,26.16465519182384,97.642,36.62234038114548,90.31,91.06
69,0.01,25.36472572758794,97.796,38.02991205453873,90.76,91.06
70,0.01,25.25904363207519,97.816,36.36994604766369,90.68,91.06
71,0.01,28.761826621368527,97.434,36.91245997697115,90.42,91.06
72,0.01,26.32928661815822,97.58,34.37538252770901,90.97,91.06
73,0.01,25.62008523195982,97.766,30.836165390908718,91.67,91.67
74,0.01,25.37614881619811,97.832,35.410752326250076,90.74,91.67
75,0.01,25.199224159121513,97.75,36.32149714976549,90.86,91.67
76,0.01,25.682313771918416,97.73,38.02772928774357,90.24,91.67
77,0.01,24.79062291048467,97.82,43.265643164515495,88.87,91.67
78,0.01,23.360427191480994,97.94,44.26583097875118,89.4,91.67
79,0.01,25.337075598537922,97.742,35.88094998896122,90.92,91.67
80,0.01,23.25058681424707,97.922,39.32565297931433,90.1,91.67
81,0.001,11.29840893484652,99.108,26.69943132251501,93.05,93.05
82,0.001,6.172425393015146,99.592,25.88316308706999,93.43,93.43
83,0.001,5.252791023813188,99.636,25.86105678975582,93.35,93.43
84,0.001,4.004983292892575,99.776,25.834862239658833,93.54,93.54
85,0.001,3.942709324415773,99.764,25.7651609480381,93.45,93.54
86,0.001,3.2796519002877176,99.832,25.89900679141283,93.52,93.54
87,0.001,3.1798213878646493,99.822,25.87654200196266,93.57,93.57
88,0.001,2.7110477567184716,99.872,26.033083267509937,93.6,93.6
89,0.001,2.355388675816357,99.902,26.000528283417225,93.57,93.6
90,0.001,2.496952051995322,99.904,25.994676932692528,93.62,93.62
91,0.001,2.08678484801203,99.906,26.109104841947556,93.61,93.62
92,0.001,1.9699439178220928,99.906,25.923715330660343,93.82,93.82
93,0.001,1.9475272540003061,99.9,25.871765054762363,93.62,93.82
94,0.001,1.8063957740087062,99.928,25.900565054267645,93.88,93.88
95,0.001,1.7432752586901188,99.926,26.324800699949265,93.75,93.88
96,0.001,1.6726946937851608,99.936,26.418089509010315,93.7,93.88
97,0.001,1.7191698115784675,99.924,26.434024311602116,93.72,93.88
98,0.001,1.522058920469135,99.944,26.172633089125156,93.69,93.88
99,0.001,1.670164156705141,99.914,26.09039768576622,93.84,93.88
100,0.001,1.548335894010961,99.926,26.309778042137623,93.86,93.88
101,0.001,1.2796631455421448,99.962,26.207209780812263,93.8,93.88
102,0.001,1.3591392617672682,99.96,26.477834478020668,93.81,93.88
103,0.001,1.4508343935012817,99.936,26.212669253349304,93.67,93.88
104,0.001,1.2216350468806922,99.966,26.4176227375865,93.8,93.88
105,0.001,1.2200985695235431,99.97,26.3261024877429,93.81,93.88
106,0.001,1.265017244964838,99.948,26.637275636196136,93.77,93.88
107,0.001,1.2153209981042892,99.96,26.371637847274542,93.79,93.88
108,0.001,1.0299823585664853,99.972,26.241897739470005,93.86,93.88
109,0.001,1.1201778035610914,99.97,26.248225558549166,93.94,93.94
110,0.001,1.0765133012318984,99.968,26.232937790453434,94.03,94.03
111,0.001,1.0026646129554138,99.97,26.422917392104864,93.92,94.03
112,0.001,1.2069481331855059,99.954,26.29591343551874,93.99,94.03
113,0.001,0.9881898085586727,99.988,26.05949778109789,93.91,94.03
114,0.001,0.9581651177722961,99.972,26.32711323723197,94.0,94.03
115,0.001,0.9507038720184937,99.97,26.11081014573574,93.96,94.03
116,0.001,0.9336298918351531,99.982,26.116500858217478,94.04,94.04
117,0.001,0.9605975702870637,99.974,26.004863031208515,94.05,94.05
118,0.001,0.8467201821040362,99.99,26.27581312507391,93.96,94.05
119,0.001,0.9395795706659555,99.972,26.354118570685387,93.93,94.05
120,0.001,0.9175123065942898,99.97,26.26479411125183,93.97,94.05
121,0.001,0.8329591884976253,99.988,26.0436325147748,93.98,94.05
122,0.0001,0.8957251462852582,99.974,26.132620587944984,94.06,94.06
123,0.0001,0.8416648786514997,99.976,25.942665919661522,94.02,94.06
124,0.0001,0.8396834102459252,99.984,25.90878801047802,94.03,94.06
125,0.0001,0.7980303310323507,99.986,25.978639751672745,94.1,94.1
126,0.0001,0.8059312388068065,99.982,26.082276586443186,94.0,94.1
127,0.0001,0.8268563384190202,99.984,26.211645372211933,93.94,94.1
128,0.0001,0.7773956150049344,99.986,26.022881284356117,93.92,94.1
129,0.0001,0.8123554810881615,99.976,26.01973496004939,93.98,94.1
130,0.0001,0.7161556594073772,99.992,25.768930926918983,94.04,94.1
131,0.0001,0.7792872954159975,99.978,25.751995280385017,94.0,94.1
132,0.0001,0.7849586438387632,99.984,26.23069128394127,93.9,94.1
133,0.0001,0.8029500633710995,99.984,25.972809370607138,93.99,94.1
134,0.0001,0.841833496466279,99.974,25.865121074020863,93.93,94.1
135,0.0001,0.7801099221687764,99.98,25.993962489068508,94.09,94.1
136,0.0001,0.8233258225955069,99.98,25.974405877292156,94.05,94.1
137,0.0001,0.7340469025075436,99.996,26.21198457106948,93.98,94.1
138,0.0001,0.7874436718411744,99.982,26.070367626845837,94.03,94.1
139,0.0001,0.7655818950152025,99.992,26.011786468327045,93.94,94.1
140,0.0001,0.7732262834906578,99.99,26.024021960794926,93.98,94.1
141,0.0001,0.7592049953527749,99.988,25.951508834958076,93.97,94.1
142,0.0001,0.8207148283254355,99.978,26.070978336036205,93.93,94.1
143,0.0001,0.7360842432826757,99.988,26.091034173965454,93.99,94.1
144,0.0001,0.7356859032297507,99.992,26.248764030635357,94.05,94.1
145,0.0001,0.7865720237605274,99.982,26.210923172533512,93.96,94.1
146,0.0001,0.7427123724482954,99.992,25.920826632529497,93.93,94.1
147,0.0001,0.798032924067229,99.98,25.88252228498459,93.98,94.1
148,0.0001,0.7364712126436643,99.988,25.99837627261877,94.05,94.1
149,0.0001,0.7413489349419251,99.992,26.06351188570261,93.95,94.1
150,0.0001,0.7257736797910184,99.986,25.91321448609233,94.02,94.1
151,0.0001,0.7330271065002307,99.984,26.098278783261776,93.93,94.1
152,0.0001,0.7639812417328358,99.98,26.035303108394146,94.01,94.1
153,0.0001,0.7345057282363996,99.982,25.87093348801136,93.96,94.1
154,0.0001,0.8169042735826224,99.974,26.207518711686134,94.04,94.1
155,0.0001,0.8176831987220794,99.972,25.91161112487316,93.9,94.1
156,0.0001,0.7218373431824148,99.988,26.082972586154938,93.98,94.1
157,0.0001,0.7954477596795186,99.98,25.710668824613094,93.97,94.1
158,0.0001,0.7486517619108781,99.982,25.942455377429724,94.0,94.1
159,0.0001,0.737419129582122,99.984,25.93000378087163,93.99,94.1
160,0.0001,0.7493949260096997,99.99,26.014229714870453,93.96,94.1
161,0.0001,0.7276595987495966,99.99,25.983170937746763,94.01,94.1
162,0.0001,0.8057424403959885,99.976,26.090109445154667,94.01,94.1
163,0.0001,0.7355501931160688,99.986,25.88470072299242,93.97,94.1
164,0.0001,0.7854411598527804,99.982,26.154559567570686,93.98,94.1
165,0.0001,0.7346882615238428,99.984,25.95337251573801,94.05,94.1
166,0.0001,0.7707658703438938,99.974,25.9708731174469,94.05,94.1
167,0.0001,0.7256025162059814,99.992,25.872341245412827,94.07,94.1
168,0.0001,0.717646088800393,99.992,26.238868288695812,94.11,94.11
169,0.0001,0.7469260692596436,99.988,26.139448545873165,93.95,94.11
170,0.0001,0.699229565623682,99.988,25.957661904394627,94.05,94.11
171,0.0001,0.788046408095397,99.986,26.05863631516695,94.01,94.11
172,0.0001,0.6923337705666199,99.988,26.032445587217808,93.94,94.11
173,0.0001,0.7963723934954032,99.976,26.10612301528454,93.92,94.11
174,0.0001,0.7587497610365972,99.98,26.12960921227932,94.03,94.11
175,0.0001,0.7238207254558802,99.984,26.0373642668128,93.99,94.11
176,0.0001,0.7141027983161621,99.988,26.165079198777676,93.95,94.11
177,0.0001,0.7436703718267381,99.988,26.040269292891026,94.0,94.11
178,0.0001,0.7635939153842628,99.988,26.264200031757355,94.0,94.11
179,0.0001,0.7281044799601659,99.988,26.017912581562996,94.1,94.11
180,0.0001,0.6666512921219692,99.992,26.007137924432755,93.95,94.11
181,0.0001,0.7521664496744052,99.982,26.22278928756714,94.0,94.11
182,0.0001,0.689498595893383,99.986,26.136309418827295,93.94,94.11
183,0.0001,0.7050575511530042,99.992,25.966512762010098,94.03,94.11
184,0.0001,0.730345262971241,99.992,25.87122056633234,94.01,94.11
185,0.0001,0.6659376144525595,99.992,25.87222246825695,93.98,94.11
186,0.0001,0.745096537284553,99.98,26.069633476436138,93.95,94.11
187,0.0001,0.7119130715727806,99.988,26.345822863280773,93.99,94.11
188,0.0001,0.68666586431209,99.992,25.872458152472973,93.99,94.11
189,0.0001,0.7799645751947537,99.978,25.844318687915802,94.07,94.11
190,0.0001,0.7055542260350194,99.99,26.068784538656473,94.0,94.11
191,0.0001,0.7337346483254805,99.98,25.991834476590157,94.01,94.11
192,0.0001,0.7367987029720098,99.982,26.08148455619812,93.97,94.11
193,0.0001,0.7332395829726011,99.986,26.19393552839756,93.94,94.11
194,0.0001,0.7882703513023444,99.976,26.233241476118565,93.89,94.11
195,0.0001,0.6509195361286402,99.988,25.94172566384077,93.98,94.11
196,0.0001,0.698115024366416,99.984,25.953376181423664,93.89,94.11
197,0.0001,0.6828426051652059,99.988,25.948419865220785,93.96,94.11
198,0.0001,0.708302334707696,99.992,26.15631078928709,94.02,94.11
199,0.0001,0.6938381437212229,99.988,26.05165359377861,93.94,94.11
