epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,567.3166297674179,46.13,135.58556389808655,53.03,53.03
1,0.01,371.9736031293869,66.158,105.88748693466187,65.12,65.12
2,0.01,289.2593175470829,73.91,66.4160487651825,76.97,76.97
3,0.01,240.6879826784134,78.728,73.05044931173325,75.88,76.97
4,0.01,208.72580620646477,81.444,57.97143942117691,80.78,80.78
5,0.01,187.92422264814377,83.352,61.18893879652023,79.89,80.78
6,0.01,171.44276437163353,84.79,47.24878169596195,84.21,84.21
7,0.01,156.5808668732643,86.086,57.14321318268776,82.07,84.21
8,0.01,144.85556261241436,87.184,42.47705814242363,85.88,85.88
9,0.01,136.9663316309452,87.92,46.02558743953705,84.49,85.88
10,0.01,126.67116096615791,88.804,43.48719906806946,86.13,86.13
11,0.01,121.14521503448486,89.178,44.283356711268425,85.73,86.13
12,0.01,114.07587499916553,89.896,46.05893185734749,85.02,86.13
