# layer_size:65536,layer_size:65536,layer_size:65536,layer_size:65536,layer_size:65536,layer_size:32768,layer_size:32768,layer_size:32768,layer_size:32768,layer_size:16384,layer_size:16384,layer_size:16384,layer_size:16384,layer_size:8192,layer_size:8192,layer_size:8192
3.385617187500000000e+04,3.267614648437500000e+04,3.585400781250000000e+04,3.315292578125000000e+04,3.366375781250000000e+04,1.623582031250000000e+04,1.606133593750000000e+04,1.645577148437500000e+04,1.630301757812500000e+04,8.086263671875000000e+03,8.338894531250000000e+03,8.053055664062500000e+03,8.290301757812500000e+03,4.099226074218750000e+03,4.050185058593750000e+03,3.985671386718750000e+03
3.367600000000000000e+04,3.326300000000000000e+04,3.563100000000000000e+04,3.222100000000000000e+04,3.368700000000000000e+04,1.626600000000000000e+04,1.597800000000000000e+04,1.628900000000000000e+04,1.627700000000000000e+04,8.193000000000000000e+03,8.204000000000000000e+03,7.950000000000000000e+03,8.153000000000000000e+03,4.207000000000000000e+03,3.984000000000000000e+03,3.709000000000000000e+03
3.471900000000000000e+04,2.948700000000000000e+04,3.439500000000000000e+04,3.225600000000000000e+04,3.233000000000000000e+04,1.613300000000000000e+04,1.571700000000000000e+04,1.613500000000000000e+04,1.652000000000000000e+04,8.170000000000000000e+03,8.444000000000000000e+03,7.518000000000000000e+03,8.329000000000000000e+03,3.913000000000000000e+03,3.957000000000000000e+03,3.781000000000000000e+03
3.509600000000000000e+04,3.189500000000000000e+04,3.701500000000000000e+04,3.245800000000000000e+04,3.469200000000000000e+04,1.649200000000000000e+04,1.629300000000000000e+04,1.666500000000000000e+04,1.682500000000000000e+04,8.230000000000000000e+03,8.775000000000000000e+03,7.928000000000000000e+03,8.599000000000000000e+03,4.156000000000000000e+03,4.025000000000000000e+03,3.938000000000000000e+03
3.514200000000000000e+04,2.950200000000000000e+04,3.594300000000000000e+04,3.312500000000000000e+04,3.379900000000000000e+04,1.647200000000000000e+04,1.589500000000000000e+04,1.604700000000000000e+04,1.627700000000000000e+04,8.144000000000000000e+03,8.654000000000000000e+03,7.633000000000000000e+03,8.602000000000000000e+03,4.050000000000000000e+03,3.895000000000000000e+03,3.928000000000000000e+03
3.376800000000000000e+04,3.371800000000000000e+04,3.556800000000000000e+04,3.324600000000000000e+04,3.383400000000000000e+04,1.608800000000000000e+04,1.613900000000000000e+04,1.661700000000000000e+04,1.597300000000000000e+04,8.090000000000000000e+03,8.731000000000000000e+03,8.391000000000000000e+03,8.458000000000000000e+03,4.063000000000000000e+03,3.660000000000000000e+03,3.862000000000000000e+03
3.151900000000000000e+04,3.362800000000000000e+04,3.458700000000000000e+04,3.294600000000000000e+04,3.229700000000000000e+04,1.599200000000000000e+04,1.597700000000000000e+04,1.736800000000000000e+04,1.646500000000000000e+04,8.093000000000000000e+03,8.373000000000000000e+03,8.580000000000000000e+03,8.356000000000000000e+03,4.317000000000000000e+03,4.117000000000000000e+03,3.769000000000000000e+03
3.271500000000000000e+04,3.285100000000000000e+04,3.200500000000000000e+04,3.161700000000000000e+04,3.019400000000000000e+04,1.607000000000000000e+04,1.588800000000000000e+04,1.678800000000000000e+04,1.633800000000000000e+04,8.135000000000000000e+03,7.814000000000000000e+03,8.137000000000000000e+03,7.855000000000000000e+03,4.103000000000000000e+03,4.312000000000000000e+03,3.975000000000000000e+03
3.224200000000000000e+04,3.524600000000000000e+04,3.763200000000000000e+04,3.485900000000000000e+04,3.495300000000000000e+04,1.632800000000000000e+04,1.632200000000000000e+04,1.726100000000000000e+04,1.663700000000000000e+04,7.781000000000000000e+03,8.587000000000000000e+03,8.106000000000000000e+03,8.341000000000000000e+03,3.954000000000000000e+03,3.799000000000000000e+03,3.848000000000000000e+03
3.374200000000000000e+04,3.190000000000000000e+04,3.496100000000000000e+04,3.321200000000000000e+04,3.278800000000000000e+04,1.636100000000000000e+04,1.646000000000000000e+04,1.676900000000000000e+04,1.641700000000000000e+04,8.025000000000000000e+03,8.490000000000000000e+03,8.105000000000000000e+03,8.653000000000000000e+03,4.350000000000000000e+03,3.970000000000000000e+03,3.626000000000000000e+03
3.499000000000000000e+04,3.042100000000000000e+04,3.353200000000000000e+04,3.158400000000000000e+04,3.221600000000000000e+04,1.631900000000000000e+04,1.614300000000000000e+04,1.620700000000000000e+04,1.634800000000000000e+04,8.389000000000000000e+03,8.511000000000000000e+03,8.195000000000000000e+03,8.564000000000000000e+03,4.153000000000000000e+03,4.189000000000000000e+03,4.007000000000000000e+03
3.508200000000000000e+04,3.330800000000000000e+04,3.905500000000000000e+04,3.380700000000000000e+04,3.634600000000000000e+04,1.678200000000000000e+04,1.572800000000000000e+04,1.497000000000000000e+04,1.612000000000000000e+04,8.108000000000000000e+03,8.259000000000000000e+03,7.583000000000000000e+03,8.274000000000000000e+03,3.947000000000000000e+03,4.072000000000000000e+03,4.222000000000000000e+03
3.370700000000000000e+04,3.189200000000000000e+04,3.327800000000000000e+04,3.165900000000000000e+04,3.161700000000000000e+04,1.586500000000000000e+04,1.589900000000000000e+04,1.627300000000000000e+04,1.606400000000000000e+04,8.206000000000000000e+03,8.084000000000000000e+03,8.211000000000000000e+03,8.038000000000000000e+03,4.186000000000000000e+03,4.280000000000000000e+03,4.103000000000000000e+03
3.296400000000000000e+04,3.422100000000000000e+04,3.628400000000000000e+04,3.327500000000000000e+04,3.434400000000000000e+04,1.622700000000000000e+04,1.634100000000000000e+04,1.678000000000000000e+04,1.660000000000000000e+04,8.157000000000000000e+03,8.439000000000000000e+03,8.283000000000000000e+03,8.480000000000000000e+03,4.231000000000000000e+03,4.073000000000000000e+03,3.929000000000000000e+03
3.299500000000000000e+04,3.268200000000000000e+04,3.272500000000000000e+04,3.262100000000000000e+04,3.181600000000000000e+04,1.599200000000000000e+04,1.604800000000000000e+04,1.667400000000000000e+04,1.597000000000000000e+04,8.125000000000000000e+03,7.717000000000000000e+03,8.432000000000000000e+03,7.784000000000000000e+03,4.128000000000000000e+03,4.325000000000000000e+03,4.191000000000000000e+03
3.405100000000000000e+04,3.274700000000000000e+04,3.476100000000000000e+04,3.229700000000000000e+04,3.301500000000000000e+04,1.601300000000000000e+04,1.605200000000000000e+04,1.651600000000000000e+04,1.630700000000000000e+04,8.269000000000000000e+03,8.007000000000000000e+03,8.121000000000000000e+03,7.886000000000000000e+03,4.147000000000000000e+03,4.130000000000000000e+03,4.030000000000000000e+03
