epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,563.9488371014595,46.618,112.04055279493332,60.16,60.16
1,0.01,361.6132742166519,67.084,108.6962303519249,65.44,65.44
2,0.01,282.5757614672184,74.798,69.70429852604866,76.6,76.6
3,0.01,236.32703602313995,79.11,67.60450440645218,78.01,78.01
4,0.01,207.9614220559597,81.552,73.67895784974098,76.2,78.01
5,0.01,185.4214759171009,83.588,54.13291655480862,81.77,81.77
6,0.01,170.32876348495483,84.82,52.05411559343338,82.7,82.7
7,0.01,154.3560534119606,86.406,60.59373524785042,80.53,82.7
8,0.01,143.43133118748665,87.222,48.141176611185074,84.31,84.31
9,0.01,134.0115832388401,88.09,43.74733766913414,85.79,85.79
10,0.01,125.23388187587261,88.924,45.208750277757645,85.35,85.79
11,0.01,118.92057646811008,89.458,45.89569589495659,85.49,85.79
12,0.01,112.8261983692646,89.884,45.25103785097599,85.13,85.79
13,0.01,106.78139188885689,90.464,41.954504638910294,86.62,86.62
14,0.01,97.89370895177126,91.282,40.96120895445347,86.98,86.98
15,0.01,95.44875951856375,91.536,40.62664821743965,87.22,87.22
16,0.01,89.16601592302322,92.066,38.01535639166832,88.29,88.29
17,0.01,84.43245203047991,92.518,36.16021180152893,89.24,89.24
18,0.01,79.57339851558208,92.906,35.481777258217335,88.85,89.24
19,0.01,78.04871843010187,92.93,39.98218098282814,87.68,89.24
20,0.01,74.41433895379305,93.418,34.57498659193516,89.02,89.24
21,0.01,69.49984233081341,93.796,45.89607931673527,86.65,89.24
22,0.01,65.05589753761888,94.176,40.68970559537411,88.05,89.24
23,0.01,66.37796891108155,94.006,35.616476982831955,89.09,89.24
24,0.01,60.730877585709095,94.594,37.46006202697754,88.88,89.24
25,0.01,60.55655847862363,94.538,40.9202014580369,88.55,89.24
26,0.01,58.16997531801462,94.858,35.97405731678009,89.84,89.84
27,0.01,56.637337770313025,94.952,37.3167625144124,89.5,89.84
28,0.01,52.91896655783057,95.216,36.28691424429417,89.66,89.84
29,0.01,52.41107324883342,95.242,35.923901446163654,89.64,89.84
30,0.01,48.91083765402436,95.646,39.66071046888828,89.1,89.84
31,0.01,48.000059843063354,95.656,34.22308351844549,90.11,90.11
32,0.01,45.96421015635133,95.876,35.418341651558876,89.66,90.11
33,0.01,45.48782194405794,95.914,45.12169274687767,88.14,90.11
34,0.01,45.25532430410385,95.94,40.55138549208641,88.47,90.11
35,0.01,42.3890875056386,96.302,35.34240585938096,89.97,90.11
36,0.01,41.28036232292652,96.304,36.380790919065475,89.88,90.11
37,0.01,40.62037852033973,96.318,34.529068395495415,90.39,90.39
38,0.01,39.806702829897404,96.372,40.37447615712881,89.07,90.39
39,0.01,37.02264175564051,96.662,38.81381082162261,89.78,90.39
40,0.01,38.92588314041495,96.43,35.609416246414185,90.33,90.39
41,0.01,36.67611821554601,96.702,32.88735843449831,90.62,90.62
42,0.01,38.13897361792624,96.462,39.71338552236557,89.86,90.62
43,0.01,34.466324876993895,96.872,40.141046576201916,88.96,90.62
44,0.01,34.78100032731891,96.93,34.248729445040226,90.43,90.62
45,0.01,33.65334915742278,96.994,31.027118295431137,91.31,91.31
46,0.01,33.63943034410477,96.942,38.10650719702244,89.73,91.31
47,0.01,32.79950291290879,97.076,36.975371688604355,90.19,91.31
48,0.01,33.06478877924383,96.934,37.34028099477291,89.83,91.31
49,0.01,33.30886852182448,97.032,35.87720879167318,90.38,91.31
50,0.01,31.09241852723062,97.268,37.15385998040438,90.35,91.31
