epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,566.4867418408394,46.264,115.33452421426773,59.64,59.64
0,0.01,560.4740059971809,46.87,119.25398647785187,58.23,58.23
1,0.01,356.3099746108055,67.214,106.98040157556534,66.06,66.06
1,0.01,352.8132680654526,67.816,83.57317382097244,71.89,71.89
2,0.01,277.25122913718224,75.216,73.07859432697296,75.66,75.66
2,0.01,275.5660696923733,75.374,67.58890897035599,77.49,77.49
3,0.01,236.0173145532608,79.008,56.68866762518883,80.64,80.64
3,0.01,232.88920012116432,79.48,122.3358154296875,66.5,77.49
4,0.01,208.25494965910912,81.544,60.337404012680054,80.66,80.66
4,0.01,206.5325554907322,81.898,65.12495565414429,78.53,78.53
5,0.01,186.4646520614624,83.6,55.1860091984272,81.93,81.93
5,0.01,184.09885635972023,83.772,62.05529114603996,79.42,79.42
6,0.01,169.03646920621395,84.998,49.89133229851723,83.48,83.48
6,0.01,169.00449706614017,84.958,58.79055345058441,80.82,80.82
7,0.01,155.83321580290794,86.378,47.16626760363579,83.98,83.98
7,0.01,155.58568572998047,86.224,45.521866261959076,84.66,84.66
8,0.01,145.93365159630775,87.094,51.36872194707394,83.32,83.98
8,0.01,143.50541108846664,87.316,47.26911336183548,84.9,84.9
9,0.01,135.0294662117958,87.948,41.70185227692127,86.26,86.26
9,0.01,133.7997695952654,88.118,46.472217082977295,84.4,84.9
10,0.01,125.75739723443985,88.812,41.07421204447746,86.53,86.53
10,0.01,124.82036693394184,89.122,56.16728889942169,82.58,84.9
11,0.01,118.45686961710453,89.526,41.5000406652689,86.87,86.87
11,0.01,118.14316600561142,89.576,43.525766149163246,86.21,86.21
12,0.01,112.10522345453501,90.026,44.7458410859108,86.11,86.87
12,0.01,110.45303901284933,90.174,40.97639814019203,87.04,87.04
13,0.01,103.95701093971729,90.62,42.87381558120251,86.83,86.87
13,0.01,104.46318478882313,90.712,50.51833298802376,84.27,87.04
14,0.01,100.94700970500708,90.988,38.897823713719845,87.23,87.23
14,0.01,99.41268421709538,91.182,44.68170243501663,85.93,87.04
15,0.01,95.59953317046165,91.406,41.84307038784027,86.9,87.23
15,0.01,93.12070654332638,91.766,46.1587498486042,85.77,87.04
16,0.01,90.40349436551332,91.874,35.35274688899517,88.83,88.83
16,0.01,89.71061377972364,92.042,39.709166660904884,87.92,87.92
17,0.01,85.79525967687368,92.316,37.91856832802296,88.38,88.83
17,0.01,85.9489302188158,92.312,36.62387581169605,88.54,88.54
18,0.01,84.69250336289406,92.402,41.248362228274345,87.41,88.83
18,0.01,80.16352838277817,92.846,40.635323747992516,87.69,88.54
19,0.01,78.71597021818161,92.95,37.58741484582424,88.07,88.83
19,0.01,76.68628330528736,93.132,33.352805122733116,89.48,89.48
20,0.01,75.59903647750616,93.368,37.85592973232269,88.34,88.83
20,0.01,75.93091136217117,93.154,34.45631268620491,89.01,89.48
21,0.01,72.47459822520614,93.51,34.99467473477125,88.9,88.9
21,0.01,70.02956227958202,93.646,44.1014699190855,86.78,89.48
22,0.01,68.53406934067607,93.81,41.07836256921291,88.2,88.9
22,0.01,67.39689628407359,94.018,40.59466825425625,88.14,89.48
23,0.01,64.86508756503463,94.12,41.21389311552048,88.38,88.9
23,0.01,66.12292437255383,93.99,37.1192464530468,88.81,89.48
24,0.01,63.737698413431644,94.314,37.854864716529846,88.62,88.9
24,0.01,62.51521532982588,94.384,35.844404973089695,89.2,89.48
25,0.01,60.71248512342572,94.664,35.62508022040129,89.52,89.52
25,0.01,59.26333445683122,94.63,44.8149857968092,87.67,89.48
26,0.01,59.399021573364735,94.724,35.737713038921356,89.27,89.52
26,0.01,58.531909599900246,94.684,34.05624921619892,89.69,89.69
27,0.01,55.495109140872955,95.018,35.316346786916256,89.59,89.59
27,0.01,55.820399545133114,94.922,45.04217175394297,87.82,89.69
28,0.01,54.2838915027678,95.146,32.65459271520376,90.24,90.24
28,0.01,52.94819874688983,95.254,41.2792746797204,88.18,89.69
29,0.01,51.53376319631934,95.418,36.251006454229355,89.28,90.24
29,0.01,54.43719670176506,94.992,43.001903519034386,88.4,89.69
30,0.01,51.53264634869993,95.358,38.66167186200619,88.89,90.24
30,0.01,50.565254874527454,95.466,37.261161752045155,88.98,89.69
31,0.01,48.00447519123554,95.708,35.86471547931433,89.4,90.24
31,0.01,47.10332323051989,95.762,35.77076177299023,90.03,90.03
32,0.01,48.445360004901886,95.674,40.5330708026886,88.69,90.24
33,0.01,43.8780218437314,96.052,38.60901175439358,89.24,90.24
32,0.01,48.0174246840179,95.636,35.75406716763973,90.12,90.12
34,0.01,45.02594878524542,95.918,37.21359061449766,89.93,90.24
33,0.01,45.089549688622355,95.97,38.59486898779869,89.39,90.12
35,0.01,41.53618726879358,96.274,37.53535224497318,89.98,90.24
34,0.01,45.26854845881462,96.004,34.28328378498554,90.15,90.15
36,0.01,40.97359008342028,96.384,36.32181994616985,90.25,90.25
35,0.01,42.20795536413789,96.182,44.74615301191807,88.1,90.15
37,0.01,39.926934849470854,96.468,36.592707723379135,90.01,90.25
36,0.01,40.69311565719545,96.31,53.278816036880016,86.18,90.15
38,0.01,41.28885099850595,96.36,35.831195786595345,90.02,90.25
37,0.01,42.300991017371416,96.192,34.27959417551756,90.58,90.58
39,0.01,38.86158393882215,96.436,35.18148799240589,90.27,90.27
38,0.01,38.63932182453573,96.572,37.31575870513916,89.62,90.58
40,0.01,37.436854016035795,96.636,38.049843445420265,90.08,90.27
39,0.01,39.12854250892997,96.462,37.94247226417065,89.62,90.58
41,0.01,37.24704215861857,96.748,34.2209462299943,90.59,90.59
40,0.01,35.96437873877585,96.724,34.1089404001832,90.67,90.67
42,0.01,36.003649873659015,96.792,37.61182202398777,90.03,90.59
41,0.01,38.43321247398853,96.632,38.78108949959278,89.85,90.67
43,0.01,36.613595616072416,96.672,36.53648562729359,90.41,90.59
42,0.01,35.515083611011505,96.8,37.107850693166256,90.28,90.67
44,0.01,36.363451920449734,96.692,34.95886428654194,90.7,90.7
43,0.01,35.991911206394434,96.7,36.398471504449844,90.11,90.67
45,0.01,34.82295172289014,96.794,32.42923078685999,91.36,91.36
44,0.01,33.9657786116004,96.896,48.039814338088036,88.08,90.67
46,0.01,33.375034138560295,97.028,39.193291418254375,89.8,91.36
45,0.01,35.147122679278255,96.8,35.69544090330601,90.52,90.67
47,0.01,34.56095087341964,96.892,35.18294258415699,90.77,91.36
46,0.01,35.25049443542957,96.798,37.55942377448082,89.99,90.67
48,0.01,32.84593343734741,97.056,35.1818653345108,90.56,91.36
47,0.01,31.878711689263582,97.238,44.235596507787704,89.03,90.67
49,0.01,32.17719864845276,97.138,40.728034004569054,89.37,91.36
48,0.01,32.33054140023887,96.994,38.13415504992008,90.05,90.67
50,0.01,31.082775643095374,97.216,39.3113551735878,89.97,91.36
49,0.01,32.245563950389624,97.09,39.93058301508427,90.16,90.67
50,0.01,30.654397282749414,97.236,39.26952984929085,89.54,90.67
