epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,538.8674317002296,49.122,104.0430251955986,63.64,63.64
1,0.01,314.94926357269287,71.534,66.47944349050522,77.17,77.17
2,0.01,232.3087041079998,79.35,59.29277428984642,80.03,80.03
3,0.01,189.7574457526207,83.274,51.48176856338978,82.6,82.6
4,0.01,163.20585618913174,85.614,45.46464268863201,85.02,85.02
5,0.01,145.37894704937935,87.148,43.029736652970314,85.17,85.17
6,0.01,129.81472690403461,88.552,43.20398609340191,86.33,86.33
7,0.01,116.32522322237492,89.672,39.17413857579231,87.21,87.21
8,0.01,105.50164391845465,90.62,39.093078538775444,86.74,87.21
9,0.01,94.34644901752472,91.632,40.22344107925892,86.23,87.21
10,0.01,87.2949146181345,92.344,36.722511038184166,88.15,88.15
11,0.01,80.60440212488174,92.87,35.91706611216068,88.56,88.56
12,0.01,75.50071682780981,93.222,34.634285271167755,88.92,88.92
