# layer_size:65536,layer_size:65536,layer_size:65536,layer_size:65536,layer_size:65536,layer_size:32768,layer_size:32768,layer_size:32768,layer_size:32768,layer_size:16384,layer_size:16384,layer_size:16384,layer_size:16384,layer_size:8192,layer_size:8192,layer_size:8192
3.586860546875000000e+04,3.637030078125000000e+04,3.851484765625000000e+04,3.710173828125000000e+04,3.002820312500000000e+04,1.223215039062500000e+04,1.215934472656250000e+04,1.028047558593750000e+04,1.099752734375000000e+04,4.428994140625000000e+03,4.321187011718750000e+03,4.536975097656250000e+03,4.462604492187500000e+03,2.856619628906250000e+03,3.275554199218750000e+03,4.108175292968750000e+03
3.559200000000000000e+04,3.547300000000000000e+04,3.716900000000000000e+04,3.552100000000000000e+04,2.990400000000000000e+04,1.242100000000000000e+04,1.210800000000000000e+04,9.828000000000000000e+03,1.111100000000000000e+04,4.550000000000000000e+03,4.229000000000000000e+03,4.301000000000000000e+03,4.543000000000000000e+03,3.270000000000000000e+03,2.972000000000000000e+03,3.508000000000000000e+03
3.700400000000000000e+04,3.825100000000000000e+04,3.850100000000000000e+04,3.822400000000000000e+04,2.942600000000000000e+04,1.165800000000000000e+04,1.128200000000000000e+04,9.685000000000000000e+03,1.021700000000000000e+04,4.377000000000000000e+03,4.226000000000000000e+03,4.855000000000000000e+03,4.413000000000000000e+03,2.994000000000000000e+03,3.421000000000000000e+03,3.652000000000000000e+03
3.832600000000000000e+04,3.776000000000000000e+04,4.058400000000000000e+04,3.621000000000000000e+04,3.164800000000000000e+04,1.192200000000000000e+04,1.216800000000000000e+04,1.024900000000000000e+04,1.146500000000000000e+04,4.518000000000000000e+03,4.379000000000000000e+03,4.791000000000000000e+03,4.590000000000000000e+03,2.964000000000000000e+03,3.658000000000000000e+03,4.750000000000000000e+03
3.665700000000000000e+04,3.780200000000000000e+04,3.985800000000000000e+04,3.724600000000000000e+04,3.062000000000000000e+04,1.122800000000000000e+04,1.234800000000000000e+04,9.927000000000000000e+03,1.076500000000000000e+04,4.409000000000000000e+03,4.318000000000000000e+03,4.654000000000000000e+03,4.556000000000000000e+03,2.825000000000000000e+03,3.710000000000000000e+03,4.836000000000000000e+03
3.302900000000000000e+04,3.329100000000000000e+04,3.619300000000000000e+04,3.332200000000000000e+04,3.109200000000000000e+04,1.210500000000000000e+04,1.272100000000000000e+04,1.042300000000000000e+04,1.145800000000000000e+04,4.501000000000000000e+03,4.306000000000000000e+03,4.545000000000000000e+03,4.446000000000000000e+03,2.929000000000000000e+03,3.276000000000000000e+03,4.246000000000000000e+03
3.433000000000000000e+04,3.563600000000000000e+04,3.741300000000000000e+04,3.775200000000000000e+04,2.889700000000000000e+04,1.239600000000000000e+04,1.251900000000000000e+04,1.072600000000000000e+04,1.144900000000000000e+04,4.551000000000000000e+03,4.556000000000000000e+03,4.543000000000000000e+03,4.673000000000000000e+03,3.000000000000000000e+03,3.165000000000000000e+03,4.535000000000000000e+03
3.612800000000000000e+04,3.376200000000000000e+04,3.521400000000000000e+04,3.687700000000000000e+04,2.849700000000000000e+04,1.166300000000000000e+04,1.123700000000000000e+04,9.913000000000000000e+03,1.045400000000000000e+04,4.598000000000000000e+03,4.306000000000000000e+03,4.541000000000000000e+03,4.538000000000000000e+03,2.947000000000000000e+03,3.318000000000000000e+03,4.658000000000000000e+03
3.509600000000000000e+04,3.417800000000000000e+04,3.993600000000000000e+04,3.695500000000000000e+04,3.061300000000000000e+04,1.279500000000000000e+04,1.251400000000000000e+04,1.072900000000000000e+04,1.156000000000000000e+04,4.405000000000000000e+03,4.296000000000000000e+03,4.510000000000000000e+03,4.833000000000000000e+03,3.089000000000000000e+03,3.650000000000000000e+03,4.042000000000000000e+03
3.422800000000000000e+04,3.771100000000000000e+04,3.820600000000000000e+04,3.725200000000000000e+04,2.958300000000000000e+04,1.220200000000000000e+04,1.228800000000000000e+04,1.021100000000000000e+04,1.112000000000000000e+04,4.407000000000000000e+03,4.491000000000000000e+03,4.417000000000000000e+03,4.746000000000000000e+03,3.266000000000000000e+03,3.452000000000000000e+03,4.102000000000000000e+03
