epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,688.8977884054184,35.0,160.81315684318542,40.95,40.95
1,0.01,565.8579630851746,47.15,141.62629878520966,48.73,48.73
2,0.01,501.8544188141823,53.576,119.41780668497086,56.16,56.16
3,0.01,449.42538517713547,58.912,108.1574632525444,61.42,61.42
4,0.01,410.81707817316055,62.382,108.63039922714233,60.98,61.42
5,0.01,376.6885471343994,65.748,96.09426373243332,66.15,66.15
6,0.01,353.63292795419693,67.746,92.62743526697159,67.08,67.08
7,0.01,334.1680670976639,69.518,89.6241917014122,69.0,69.0
8,0.01,315.2140972018242,71.492,80.43492263555527,71.84,71.84
9,0.01,299.38923424482346,72.996,76.16412219405174,73.2,73.2
10,0.01,289.129234790802,73.846,71.95131465792656,74.4,74.4
11,0.01,272.1622365415096,75.584,86.64135831594467,70.05,74.4
12,0.01,262.31917318701744,76.334,66.46379253268242,77.02,77.02
13,0.01,253.23530200123787,77.316,76.23405623435974,73.35,77.02
14,0.01,241.9425241947174,78.14,64.6410404741764,77.17,77.17
15,0.01,233.98271775245667,78.926,73.18196439743042,74.68,77.17
16,0.01,224.96363350749016,79.91,64.85040435194969,77.2,77.2
17,0.01,218.82637077569962,80.32,71.34354519844055,76.25,77.2
18,0.01,211.77849745750427,81.036,64.02718257904053,78.63,78.63
19,0.01,208.41746479272842,81.502,60.134784549474716,79.45,79.45
20,0.01,202.36760698258877,81.876,56.763935923576355,80.67,80.67
21,0.01,197.19232785701752,82.362,65.23945379257202,78.06,80.67
22,0.01,192.77627581357956,82.82,54.82679542899132,81.29,81.29
23,0.01,189.0493773818016,83.234,65.80527228116989,77.79,81.29
24,0.01,183.4020066857338,83.772,57.63163340091705,81.07,81.29
25,0.01,177.98753640055656,84.068,54.53548753261566,81.67,81.67
26,0.01,179.16783139109612,83.842,59.16629242897034,80.01,81.67
27,0.01,172.06437031924725,84.684,49.29440304636955,83.01,83.01
28,0.01,167.88990408182144,85.01,48.76770234107971,83.39,83.39
29,0.01,167.02605870366096,84.994,64.77523121237755,79.29,83.39
30,0.01,164.44686752557755,85.408,60.47991266846657,80.57,83.39
31,0.01,161.81304432451725,85.708,64.41906335949898,78.59,83.39
32,0.01,157.75661107897758,85.9,54.845734268426895,81.93,83.39
33,0.01,156.69016094505787,85.988,53.07839408516884,82.0,83.39
34,0.01,152.42361253499985,86.258,48.79906219244003,83.22,83.39
35,0.01,151.4403455555439,86.45,60.784546703100204,80.0,83.39
36,0.01,148.50033852458,86.76,48.454332798719406,83.86,83.86
37,0.01,147.24113149940968,86.77,55.70866730809212,81.33,83.86
38,0.01,144.24919566512108,87.014,54.95195597410202,81.83,83.86
39,0.01,145.21756479144096,87.156,47.855350375175476,83.74,83.86
40,0.01,141.75847245752811,87.46,54.009123399853706,82.32,83.86
41,0.01,139.6309222728014,87.53,49.51203462481499,83.5,83.86
42,0.01,139.16671238839626,87.556,47.929429054260254,84.18,84.18
43,0.01,136.46360620856285,87.824,48.062153071165085,83.89,84.18
44,0.01,133.40166591107845,88.03,48.95069435238838,84.08,84.18
45,0.01,133.02329272031784,88.082,50.96961726248264,83.14,84.18
46,0.01,133.2047449797392,87.87,52.213448494672775,82.83,84.18
47,0.01,129.9017178863287,88.316,55.46135041117668,81.87,84.18
48,0.01,130.71511517465115,88.2,47.68986949324608,84.12,84.18
49,0.01,127.88416108489037,88.442,48.035093545913696,84.55,84.55
50,0.01,128.34786865115166,88.562,45.73763966560364,85.13,85.13
51,0.01,124.83524052798748,88.802,54.646257534623146,82.86,85.13
52,0.01,123.1631380468607,88.878,56.17506600916386,81.87,85.13
53,0.01,123.18178291618824,88.928,45.80223022401333,84.61,85.13
54,0.01,120.38943555951118,89.2,43.568292528390884,85.32,85.32
55,0.01,118.58880269527435,89.292,44.54277119040489,85.88,85.88
56,0.01,120.9451656639576,89.25,48.537747859954834,83.99,85.88
57,0.01,118.3585100620985,89.314,45.15762063860893,84.96,85.88
58,0.01,118.68409961462021,89.352,48.819265365600586,83.82,85.88
59,0.01,117.31180462241173,89.348,43.53693062067032,86.01,86.01
60,0.01,114.51715099811554,89.774,44.797363832592964,85.38,86.01
61,0.01,113.11548161506653,89.912,41.37939624488354,86.45,86.45
62,0.01,111.28173270821571,90.098,43.91882498562336,85.48,86.45
63,0.01,111.65376411378384,89.92,46.383746698498726,85.03,86.45
