epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,537.4334006905556,49.208,104.84596002101898,64.09,64.09
1,0.01,311.73703745007515,72.036,73.38685128092766,74.77,74.77
2,0.01,230.04958882927895,79.534,69.077038615942,77.61,77.61
3,0.01,191.78973004221916,83.014,49.589688152074814,83.36,83.36
4,0.01,165.11263926327229,85.506,46.782516092062,84.38,84.38
5,0.01,144.18044172227383,87.38,45.310825496912,84.85,84.85
6,0.01,128.55909234285355,88.704,44.23969067633152,85.97,85.97
7,0.01,116.1533914655447,89.76,43.206006586551666,85.3,85.97
8,0.01,103.63588321208954,90.938,41.00622098147869,86.56,86.56
9,0.01,93.42306060343981,91.692,36.818711921572685,87.94,87.94
10,0.01,88.3204986974597,92.144,35.742474257946014,88.35,88.35
11,0.01,80.07216823101044,92.844,34.24474923312664,89.03,89.03
12,0.01,73.84979117661715,93.466,35.60995915532112,88.74,89.03
13,0.01,70.13163226470351,93.846,36.48464699089527,88.89,89.03
14,0.01,63.61483357101679,94.246,34.20257633179426,89.72,89.72
15,0.01,59.34984912723303,94.674,38.38006876409054,88.52,89.72
16,0.01,55.477833945304155,95.048,36.60856130719185,88.99,89.72
17,0.01,52.588572105392814,95.166,36.81031407415867,89.17,89.72
18,0.01,48.873371846973896,95.51,39.05046544969082,88.99,89.72
19,0.01,46.41231368854642,95.854,36.766292318701744,89.21,89.72
20,0.01,42.45162906870246,96.186,37.70429918169975,89.11,89.72
21,0.01,41.851038878783584,96.262,37.78558757901192,89.22,89.72
22,0.01,39.404772125184536,96.552,35.56643486022949,89.79,89.79
23,0.01,37.925919665023685,96.68,37.09758186340332,90.3,90.3
24,0.01,35.19609588384628,96.856,35.25502364337444,90.55,90.55
25,0.01,33.350838566198945,97.022,43.036912366747856,88.02,90.55
26,0.01,34.129075007513165,96.944,36.26614546775818,89.31,90.55
27,0.01,29.973097344860435,97.298,35.83148253336549,89.79,90.55
28,0.01,31.23717333562672,97.152,39.79807985574007,89.83,90.55
29,0.01,29.271218582987785,97.314,40.744541987776756,89.48,90.55
30,0.01,29.5506205894053,97.428,34.381246380507946,90.59,90.59
31,0.01,27.214259700849652,97.552,40.61701828986406,88.76,90.59
32,0.01,25.614162366837263,97.712,39.17445349320769,90.16,90.59
33,0.01,27.86393366754055,97.482,38.634092301130295,90.0,90.59
34,0.01,25.280194986611605,97.792,36.06210274249315,90.44,90.59
35,0.01,25.095621701329947,97.764,36.82446048408747,90.25,90.59
36,0.01,24.79374248534441,97.82,33.36866869777441,90.82,90.82
37,0.01,23.50626884587109,97.918,38.244008619338274,90.48,90.82
