epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,566.0185993909836,46.01,180.35401725769043,45.0,45.0
1,0.01,357.7734467983246,67.398,88.93389701843262,70.23,70.23
2,0.01,281.8775935471058,74.6,76.66595160961151,74.03,74.03
3,0.01,235.7041401565075,79.004,67.61268103122711,77.85,77.85
4,0.01,210.19247567653656,81.326,58.50086924433708,80.21,80.21
5,0.01,186.707529515028,83.464,53.79003944993019,81.74,81.74
6,0.01,171.90042880177498,84.93,65.29420554637909,79.67,81.74
7,0.01,158.61722567677498,86.004,49.132823050022125,83.77,83.77
8,0.01,146.38695757091045,87.078,46.53781037032604,84.55,84.55
9,0.01,136.13939227163792,87.972,45.688480377197266,84.65,84.65
10,0.01,127.07850766181946,88.714,43.634050473570824,85.9,85.9
11,0.01,120.60910832881927,89.476,41.45575149357319,86.36,86.36
12,0.01,112.00759929418564,90.064,40.41313390433788,86.78,86.78
13,0.01,104.66016785055399,90.764,43.348314359784126,86.69,86.78
14,0.01,99.88817159831524,91.04,39.807200491428375,87.08,87.08
15,0.01,95.22816351056099,91.598,45.19050116837025,85.59,87.08
16,0.01,90.72344517707825,91.844,38.594342797994614,87.18,87.18
17,0.01,85.9520507901907,92.346,43.6919616907835,87.06,87.18
18,0.01,82.61945416033268,92.504,36.250328451395035,88.69,88.69
19,0.01,78.34182566404343,92.986,41.960938423871994,87.07,88.69
20,0.01,73.24377485364676,93.422,36.30551192164421,88.82,88.82
21,0.01,70.43588967621326,93.682,36.82999984920025,89.13,89.13
22,0.01,69.81692387163639,93.774,34.48057207465172,89.58,89.58
23,0.01,66.12210109829903,94.09,36.645581021904945,88.93,89.58
24,0.01,62.873037464916706,94.326,37.191106878221035,88.64,89.58
25,0.01,59.774734016507864,94.618,39.987113520503044,88.24,89.58
26,0.01,59.88568556308746,94.63,34.41330312937498,89.27,89.58
27,0.01,55.98567757755518,94.958,34.59982353448868,89.64,89.64
28,0.01,55.551192458719015,95.022,35.43082647025585,89.68,89.68
29,0.01,51.69071791321039,95.266,35.73957076668739,89.68,89.68
30,0.01,48.99763631820679,95.5,39.92393037676811,88.3,89.68
31,0.01,48.96316048130393,95.584,35.22184952721,90.08,90.08
32,0.01,45.36695026606321,95.842,37.16343094408512,89.93,90.08
33,0.01,45.82141990959644,95.888,39.513736203312874,88.95,90.08
34,0.01,43.441789261996746,96.104,41.74586394429207,89.05,90.08
35,0.01,44.5705825779587,95.988,37.79078705608845,89.58,90.08
36,0.01,42.66479519754648,96.048,41.00865165889263,89.03,90.08
37,0.01,40.25418121367693,96.382,38.13279239088297,89.47,90.08
38,0.01,39.709282130002975,96.464,34.034320428967476,90.61,90.61
39,0.01,38.76549341902137,96.494,36.28391372412443,89.75,90.61
40,0.01,38.24107915721834,96.54,32.5558829754591,90.76,90.76
41,0.01,36.93667992949486,96.704,41.66120685636997,88.69,90.76
42,0.01,36.93454153649509,96.642,34.96422507613897,90.51,90.76
43,0.01,35.79256580397487,96.812,42.16478228569031,88.94,90.76
44,0.01,34.54832028225064,96.954,36.928750813007355,89.62,90.76
45,0.01,34.86614040657878,96.924,39.78804183751345,89.47,90.76
46,0.01,33.85403588414192,96.988,36.327924467623234,90.48,90.76
47,0.01,34.96306805126369,96.852,36.84085210412741,89.95,90.76
48,0.01,32.59687816724181,97.062,35.523970291018486,90.09,90.76
49,0.01,29.53626694716513,97.356,34.56305439025164,90.72,90.76
50,0.01,31.400059204548597,97.12,37.45330064743757,90.46,90.76
51,0.01,32.52214580029249,97.156,38.24181482195854,90.01,90.76
52,0.01,31.02521455474198,97.2,37.00114855915308,90.19,90.76
53,0.01,29.324679423123598,97.416,33.617187678813934,91.07,91.07
54,0.01,30.452187390998006,97.192,37.59005758166313,90.03,91.07
55,0.01,31.602213621139526,97.19,33.2968592941761,91.21,91.21
56,0.01,27.796478668227792,97.536,39.7740958109498,89.74,91.21
57,0.01,28.563760247081518,97.496,38.867950811982155,89.93,91.21
58,0.01,30.179705081507564,97.312,36.25480315834284,91.12,91.21
59,0.01,29.005681596696377,97.446,35.85937073454261,90.57,91.21
60,0.01,26.787579549476504,97.592,42.181567437946796,89.6,91.21
61,0.01,29.042843382805586,97.43,40.55476564913988,89.71,91.21
62,0.01,29.134262463077903,97.476,35.90249912440777,90.77,91.21
63,0.01,29.568766610696912,97.326,35.93269879370928,90.82,91.21
64,0.01,28.943006943911314,97.35,37.285280272364616,90.51,91.21
65,0.01,30.388260427862406,97.318,37.67394541949034,90.1,91.21
66,0.01,25.645018599927425,97.744,36.17399036884308,90.62,91.21
67,0.01,26.826839935034513,97.664,39.798838049173355,89.93,91.21
68,0.01,26.279631551355124,97.61,35.580170042812824,90.4,91.21
69,0.01,27.369539385661483,97.574,42.5439872443676,89.62,91.21
70,0.01,26.288461005315185,97.686,36.53012925386429,90.46,91.21
71,0.01,24.914832565933466,97.794,39.90282180905342,89.85,91.21
72,0.01,27.808362927287817,97.512,38.034547097980976,90.39,91.21
73,0.01,26.541620077565312,97.698,41.8477221801877,89.41,91.21
74,0.01,25.04251515492797,97.822,38.92233216762543,90.4,91.21
75,0.01,26.72394297271967,97.648,36.96576623618603,90.55,91.21
76,0.01,26.40620200894773,97.596,36.00838536769152,90.44,91.21
77,0.01,24.832926876842976,97.784,41.11671610921621,90.17,91.21
78,0.01,24.890313351526856,97.8,41.63935460150242,89.78,91.21
79,0.01,22.647551622241735,98.05,34.972164049744606,90.96,91.21
80,0.01,24.939388535916805,97.74,38.74004089832306,89.95,91.21
81,0.001,11.717755921185017,99.078,27.407611530274153,92.86,92.86
82,0.001,6.57964326441288,99.558,26.94044786132872,93.04,93.04
83,0.001,5.327510491013527,99.656,27.242188453674316,93.29,93.29
84,0.001,4.277417624369264,99.75,27.06192115880549,93.39,93.39
85,0.001,3.608836753293872,99.808,27.209232294932008,93.31,93.39
86,0.001,3.251437711995095,99.82,27.446393463760614,93.36,93.39
87,0.001,2.9655768489465117,99.848,27.06203937716782,93.36,93.39
88,0.001,2.722415044903755,99.876,26.99576176609844,93.51,93.51
89,0.001,2.4410704178735614,99.888,27.045713748782873,93.46,93.51
90,0.001,2.3818724984303117,99.89,26.803374221548438,93.73,93.73
91,0.001,2.251745220273733,99.892,27.040653055533767,93.67,93.73
92,0.001,1.945258380845189,99.91,27.395630177110434,93.56,93.73
93,0.001,1.8668394382111728,99.918,27.48115256614983,93.53,93.73
94,0.001,1.9094301564618945,99.932,27.69716546870768,93.57,93.73
95,0.001,1.750360467005521,99.928,27.582936405204237,93.55,93.73
96,0.001,1.6142001394182444,99.93,27.179020320996642,93.6,93.73
97,0.001,1.520480583421886,99.948,27.59259644895792,93.61,93.73
98,0.001,1.5227846286725253,99.93,27.427808799780905,93.7,93.73
99,0.001,1.4186693085357547,99.956,27.398094352334738,93.68,93.73
100,0.001,1.4655133374035358,99.944,27.745075626298785,93.62,93.73
101,0.001,1.5214846476446837,99.932,27.896841204725206,93.65,93.73
102,0.001,1.2836990910582244,99.972,27.781909795477986,93.54,93.73
103,0.001,1.1599989600945264,99.964,27.978964461944997,93.61,93.73
104,0.001,1.267646636813879,99.958,27.47318720072508,93.61,93.73
105,0.001,1.3318346994929016,99.954,27.70359631534666,93.63,93.73
106,0.001,1.2075204097200185,99.962,27.57636292465031,93.64,93.73
107,0.001,1.124467063229531,99.968,27.70620635803789,93.73,93.73
108,0.001,1.138293795287609,99.968,27.615513511933386,93.73,93.73
109,0.001,1.083867954555899,99.958,27.873992137610912,93.67,93.73
110,0.001,0.9700618244241923,99.98,27.634587814100087,93.61,93.73
111,0.001,0.9944924339652061,99.974,27.6743269469589,93.8,93.8
112,0.001,1.037250879802741,99.966,27.84184375964105,93.76,93.8
113,0.001,1.0084505204577,99.972,27.719893461093307,93.64,93.8
114,0.001,0.9612526334822178,99.974,27.9923783428967,93.52,93.8
115,0.001,1.0292789011728019,99.97,27.830239326693118,93.64,93.8
116,0.001,1.0225970018655062,99.966,28.000759401358664,93.6,93.8
117,0.001,0.9231522032059729,99.98,27.877956710755825,93.64,93.8
118,0.001,0.9636604152619839,99.976,27.827196774072945,93.57,93.8
119,0.001,0.9030548837035894,99.98,27.698649319820106,93.71,93.8
120,0.001,0.8610388245433569,99.986,27.789911590516567,93.78,93.8
121,0.001,1.0106122926808894,99.956,27.642785273492336,93.71,93.8
122,0.0001,0.8040764634497464,99.98,27.471618577837944,93.76,93.8
123,0.0001,0.8997196306008846,99.968,27.769309009425342,93.68,93.8
124,0.0001,0.8002354108029976,99.974,27.67266802955419,93.7,93.8
125,0.0001,0.8028405416989699,99.982,27.78060434758663,93.74,93.8
126,0.0001,0.839610006660223,99.984,27.763740118592978,93.72,93.8
127,0.0001,0.8270364825148135,99.982,27.49387214332819,93.72,93.8
128,0.0001,0.8446790156885982,99.984,27.475239508785307,93.77,93.8
129,0.0001,0.9120366733986884,99.962,27.570290453732014,93.69,93.8
130,0.0001,0.8003304093144834,99.98,27.640736678615212,93.71,93.8
131,0.0001,0.8357647128868848,99.98,27.539410741068423,93.77,93.8
132,0.0001,0.8578102185856551,99.98,27.480542628094554,93.75,93.8
133,0.0001,0.7718006733921356,99.984,27.37829266116023,93.77,93.8
134,0.0001,0.7351775064598769,99.988,27.47018585819751,93.78,93.8
135,0.0001,0.7356055893469602,99.982,27.49488471262157,93.72,93.8
136,0.0001,0.8268941134447232,99.986,27.39388906210661,93.79,93.8
137,0.0001,0.805823152186349,99.976,27.390072233974934,93.62,93.8
138,0.0001,0.8245646037394181,99.978,27.563051652163267,93.75,93.8
139,0.0001,0.7936447650426999,99.982,27.417613898403943,93.82,93.82
140,0.0001,0.786167292681057,99.982,27.428632143884897,93.71,93.82
141,0.0001,0.8034952457528561,99.984,27.512443533167243,93.68,93.82
142,0.0001,0.8719725050032139,99.97,27.347098628990352,93.81,93.82
143,0.0001,0.8158581755124032,99.976,27.437108711339533,93.65,93.82
144,0.0001,0.8240719552850351,99.974,27.309329828247428,93.71,93.82
145,0.0001,0.7041253239149228,99.994,27.350198222324252,93.68,93.82
146,0.0001,0.7611367612844333,99.99,27.60019906423986,93.63,93.82
147,0.0001,0.8389328848570585,99.988,27.65019780397415,93.72,93.82
148,0.0001,0.6922906346153468,99.992,27.445455241948366,93.63,93.82
149,0.0001,0.7308002032805234,99.988,27.38669549766928,93.82,93.82
150,0.0001,0.8187092375010252,99.986,27.566478058695793,93.6,93.82
151,0.0001,0.7596166923176497,99.992,27.4180126208812,93.74,93.82
152,0.0001,0.7480602958239615,99.986,27.321078994311392,93.68,93.82
153,0.0001,0.7734481007792056,99.98,27.66624171845615,93.56,93.82
154,0.0001,0.6857843911275268,99.988,27.545086364261806,93.7,93.82
155,0.0001,0.6977354392292909,99.99,27.575019027106464,93.69,93.82
156,0.0001,0.7388061918318272,99.994,27.45442182291299,93.68,93.82
157,0.0001,0.7497008331120014,99.986,27.889158661477268,93.63,93.82
158,0.0001,0.7822397872805595,99.972,27.580488177016377,93.81,93.82
159,0.0001,0.7592384215677157,99.974,27.458363036625087,93.63,93.82
160,0.0001,0.8094510175287724,99.98,27.534519577398896,93.62,93.82
161,0.0001,0.740535719669424,99.988,27.280018541030586,93.64,93.82
162,0.0001,0.7315014167688787,99.992,27.57990382798016,93.73,93.82
163,0.0001,0.692494222545065,99.992,27.762196141295135,93.62,93.82
164,0.0001,0.7352406375575811,99.98,27.449096554890275,93.65,93.82
165,0.0001,0.7201841909554787,99.988,27.37684107106179,93.81,93.82
166,0.0001,0.7383947327762144,99.986,27.50038779526949,93.72,93.82
167,0.0001,0.7330000542569906,99.992,27.528622042387724,93.74,93.82
168,0.0001,0.6682723343838006,99.994,27.157943875528872,93.71,93.82
169,0.0001,0.7788604211527854,99.982,27.586028357967734,93.66,93.82
170,0.0001,0.7788337707752362,99.986,27.337653001770377,93.72,93.82
171,0.0001,0.7422517375089228,99.976,27.30317205376923,93.72,93.82
172,0.0001,0.7506768152234145,99.986,27.533513753674924,93.68,93.82
173,0.0001,0.7115915447357111,99.99,27.320372282527387,93.65,93.82
174,0.0001,0.7321426905691624,99.988,27.34757141303271,93.66,93.82
175,0.0001,0.7528895710129291,99.982,27.48615483008325,93.77,93.82
176,0.0001,0.7213060695212334,99.988,27.525568136945367,93.68,93.82
177,0.0001,0.7055437460076064,99.994,27.50612138863653,93.7,93.82
178,0.0001,0.730150155024603,99.994,27.264297821559012,93.75,93.82
179,0.0001,0.6987887549912557,99.988,27.20993722230196,93.71,93.82
180,0.0001,0.6688404034357518,99.992,27.52715677022934,93.8,93.82
181,0.0001,0.681122601381503,99.992,27.319272694177926,93.69,93.82
182,0.0001,0.6909754306543618,99.982,27.60452945996076,93.68,93.82
183,0.0001,0.6870678924024105,99.99,27.389170322567225,93.78,93.82
