epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.1,642.1374282836914,38.124,131.64386808872223,50.88,50.88
1,0.1,446.06513607501984,58.8,114.23118054866791,60.15,60.15
2,0.1,346.185167491436,68.828,134.78149342536926,58.35,60.15
3,0.1,291.6571371257305,74.14,74.7046417593956,75.2,75.2
4,0.1,255.88668382167816,77.39,93.73772096633911,71.03,75.2
5,0.1,234.9540358185768,79.362,125.48410403728485,65.7,75.2
6,0.1,221.20601829886436,80.638,64.25364923477173,78.17,78.17
7,0.1,208.46811324357986,81.722,68.1486206650734,77.91,78.17
8,0.1,201.031261831522,82.5,89.03998881578445,72.99,78.17
9,0.1,192.11477528512478,83.058,59.71939980983734,79.82,79.82
10,0.1,189.52289134263992,83.422,64.24727338552475,78.94,79.82
11,0.1,179.01335340738297,84.352,69.90449863672256,77.53,79.82
12,0.1,174.9518509656191,84.69,64.85456809401512,79.39,79.82
13,0.1,170.1050458997488,85.302,67.53200533986092,79.09,79.82
14,0.1,169.75656135380268,85.278,60.484321892261505,80.19,80.19
15,0.1,162.31663970649242,85.742,72.37016037106514,78.76,80.19
16,0.1,160.4830687046051,86.064,54.523883670568466,82.16,82.16
17,0.1,155.9101911187172,86.392,64.7662196457386,78.76,82.16
18,0.1,154.0174417346716,86.588,54.5226154923439,81.96,82.16
19,0.1,155.02657724916935,86.498,69.6957719027996,78.67,82.16
20,0.1,151.7393804639578,86.678,56.94716656208038,81.63,82.16
21,0.1,153.44900578260422,86.638,56.74946601688862,81.57,82.16
22,0.1,147.09746791422367,87.148,64.94545024633408,79.0,82.16
23,0.1,145.47879621386528,87.196,60.783412754535675,80.67,82.16
24,0.1,147.24840332567692,87.158,51.62040129303932,83.05,83.05
25,0.1,146.05592107772827,87.334,60.25265038013458,81.14,83.05
26,0.1,144.06459194421768,87.468,50.108008950948715,82.68,83.05
27,0.1,141.11976942420006,87.584,48.525636315345764,83.82,83.82
28,0.1,142.59994259476662,87.58,51.74933606386185,83.56,83.82
29,0.1,143.30348631739616,87.464,45.31017071008682,84.81,84.81
30,0.1,140.50766749680042,87.67,79.07003915309906,75.5,84.81
31,0.1,139.6686663031578,87.796,43.19374407827854,85.31,85.31
32,0.1,137.4513661712408,88.128,73.50653642416,77.83,85.31
33,0.1,136.8785588145256,87.98,51.65309086441994,83.37,85.31
34,0.1,136.79672853648663,88.23,63.181598484516144,81.19,85.31
35,0.1,136.4617451429367,88.078,95.0564075410366,74.37,85.31
36,0.1,136.17614474892616,88.154,54.0947674959898,82.55,85.31
37,0.1,135.24410243332386,88.104,66.44206434488297,78.34,85.31
38,0.1,135.06794767081738,88.094,52.925965949893,84.06,85.31
39,0.1,135.09376795589924,88.282,52.96305966377258,84.16,85.31
40,0.1,131.72060392796993,88.592,47.3662900775671,85.06,85.31
41,0.1,132.76958139240742,88.468,48.16836515069008,83.91,85.31
42,0.1,133.55752643942833,88.266,54.17998117208481,83.26,85.31
43,0.1,133.92368032038212,88.368,60.55741274356842,81.0,85.31
44,0.1,130.94903829693794,88.596,74.65561717748642,80.28,85.31
45,0.1,131.78018747270107,88.492,48.657126635313034,84.29,85.31
46,0.1,132.47246204316616,88.586,54.927037954330444,83.1,85.31
47,0.1,130.2622232735157,88.63,57.485287606716156,81.87,85.31
48,0.1,132.21706646680832,88.54,73.025260835886,78.17,85.31
49,0.1,134.63860502839088,88.29,44.32115492224693,85.46,85.46
50,0.1,129.39668440818787,88.692,46.22554075717926,84.92,85.46
51,0.1,129.6020354628563,88.714,62.66506341099739,80.25,85.46
52,0.1,128.93993118405342,88.696,95.70067846775055,73.9,85.46
53,0.1,130.5733503550291,88.664,47.11638270318508,84.75,85.46
54,0.1,126.92699566483498,89.05,44.413871094584465,86.02,86.02
55,0.1,127.86362364888191,88.866,65.10102647542953,80.01,86.02
56,0.1,128.3699481934309,88.878,59.725011855363846,81.29,86.02
57,0.1,129.03281278908253,88.69,78.17221188545227,78.59,86.02
58,0.1,127.35043008625507,88.822,71.27352347970009,79.05,86.02
59,0.1,129.51089657843113,88.586,49.80898568034172,83.94,86.02
60,0.1,128.3794055879116,88.918,43.83921366930008,85.14,86.02
61,0.1,126.85252794623375,89.0,56.21226832270622,81.56,86.02
62,0.1,127.16025149822235,88.772,61.950040847063065,81.77,86.02
63,0.1,125.63835062086582,88.834,44.616358265280724,85.89,86.02
64,0.1,128.87360790371895,88.76,50.65801966190338,83.62,86.02
65,0.1,125.00435830652714,89.054,70.88022243976593,79.05,86.02
66,0.1,128.5549238473177,88.664,113.46865564584732,69.52,86.02
67,0.1,124.98468659818172,89.098,51.08005565404892,83.45,86.02
68,0.1,126.36210003495216,88.98,45.41994394361973,85.18,86.02
69,0.1,125.21712954342365,88.996,53.41699740290642,82.79,86.02
70,0.1,126.2695959508419,88.962,63.27760696411133,81.03,86.02
71,0.1,124.70837619900703,89.114,56.17883563041687,82.47,86.02
72,0.1,124.29539440572262,89.154,41.69398911297321,85.68,86.02
73,0.1,125.31680300831795,89.124,53.112194657325745,82.49,86.02
74,0.1,126.24795439839363,89.082,61.211540788412094,81.94,86.02
75,0.1,125.12062047421932,89.11,53.6929063051939,83.46,86.02
76,0.1,124.07019251585007,89.182,50.62264935672283,84.29,86.02
77,0.1,125.10867920517921,89.108,46.48910936713219,85.02,86.02
78,0.1,127.4590681642294,88.882,43.29454965889454,86.39,86.39
